facility_id,unplanned_score_edac_30_ami,unplanned_score_edac_30_hf,unplanned_score_edac_30_pn,unplanned_score_hybrid_hwr,unplanned_score_op_32,unplanned_score_op_35_adm,unplanned_score_op_35_ed,unplanned_score_op_36,unplanned_score_readm_30_ami,unplanned_score_readm_30_cabg,unplanned_score_readm_30_copd,unplanned_score_readm_30_hf,unplanned_score_readm_30_hip_knee,unplanned_score_readm_30_pn,unplanned_flag_edac_30_ami,unplanned_flag_edac_30_hf,unplanned_flag_edac_30_pn,unplanned_flag_hybrid_hwr,unplanned_flag_op_32,unplanned_flag_op_35_adm,unplanned_flag_op_35_ed,unplanned_flag_op_36,unplanned_flag_readm_30_ami,unplanned_flag_readm_30_cabg,unplanned_flag_readm_30_copd,unplanned_flag_readm_30_hf,unplanned_flag_readm_30_hip_knee,unplanned_flag_readm_30_pn
060065,,-16.1,30.5,15.1,13.0,,,,14.0,,17.6,21.3,,16.4,number of cases too small,average days per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,,,number of cases too small,no different than the national rate,,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
060071,,29.3,28.0,14.8,12.4,11.2,6.0,1.0,,,,19.8,,15.5,number of cases too small,more days than average per 100 discharges,more days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,number of cases too small,,number of cases too small,no different than the national rate,number of cases too small,no different than the national rate
060075,-22.3,-17.0,-60.2,14.2,13.5,9.1,4.5,1.0,13.0,10.9,17.5,19.6,,14.0,fewer days than average per 100 discharges,average days per 100 discharges,fewer days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
060076,,63.6,22.2,15.0,12.5,9.7,5.8,1.0,,,,20.1,,16.0,number of cases too small,more days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,number of cases too small,,number of cases too small,no different than the national rate,,no different than the national rate
06007F,,-16.0,-31.7,14.7,,,,,,,17.8,18.7,4.4,15.6,number of cases too small,average days per 100 discharges,fewer days than average per 100 discharges,no different than the national rate,,,,,number of cases too small,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
060096,,-2.9,-14.5,14.2,13.2,9.3,5.4,1.2,13.0,,,19.5,4.1,16.1,number of cases too small,average days per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,,number of cases too small,no different than the national rate,no different than the national rate,no different than the national rate
060100,-6.9,-46.7,2.3,13.5,12.7,,,1.4,13.0,10.5,18.7,17.7,4.7,17.1,average days per 100 discharges,fewer days than average per 100 discharges,average days per 100 discharges,better than the national rate,no different than the national rate,,,worse than expected,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
060103,,-49.8,-38.6,13.8,12.7,13.7,5.0,1.0,,,,19.4,,15.3,number of cases too small,fewer days than average per 100 discharges,fewer days than average per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,number of cases too small,,number of cases too small,no different than the national rate,number of cases too small,no different than the national rate
060104,-12.5,-27.8,-25.7,15.0,13.0,,,1.1,12.9,,18.5,18.7,,15.5,average days per 100 discharges,fewer days than average per 100 discharges,fewer days than average per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
060107,,,,,14.3,9.6,4.9,,,,,,,,,,number of cases too small,number of cases too small,no different than the national rate,no different than the national rate,no different than the national rate,,,,number of cases too small,,,number of cases too small
060112,-19.5,14.2,-3.6,15.2,13.8,14.1,4.9,1.1,13.5,,17.5,20.8,6.4,15.8,fewer days than average per 100 discharges,average days per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
060113,-13.1,-11.9,1.5,15.1,12.6,,,1.2,13.8,,18.5,19.3,5.3,17.0,average days per 100 discharges,fewer days than average per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,number of cases too small,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
060114,-48.9,-10.1,-22.5,13.7,12.8,,,1.1,12.4,,17.1,19.4,4.3,14.8,fewer days than average per 100 discharges,average days per 100 discharges,fewer days than average per 100 discharges,better than the national rate,no different than the national rate,number of cases too small,number of cases too small,no different than expected,no different than the national rate,,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate
060116,,4.6,1.3,14.5,13.7,10.0,6.3,0.9,13.3,,18.4,19.4,,16.2,number of cases too small,average days per 100 discharges,average days per 100 discharges,no different than the national rate,no different than the national rate,no different than the national rate,no different than the national rate,no different than expected,no different than the national rate,,no different than the national rate,no different than the national rate,number of cases too small,no different than the national rate
