facility_id,comp_score_comp_hip_knee,comp_score_hybrid_hwm,comp_score_mort_30_ami,comp_score_mort_30_cabg,comp_score_mort_30_copd,comp_score_mort_30_hf,comp_score_mort_30_pn,comp_score_mort_30_stk,comp_score_psi_03,comp_score_psi_04,comp_score_psi_06,comp_score_psi_08,comp_score_psi_09,comp_score_psi_10,comp_score_psi_11,comp_score_psi_12,comp_score_psi_13,comp_score_psi_14,comp_score_psi_15,comp_score_psi_90,comp_flag_comp_hip_knee,comp_flag_hybrid_hwm,comp_flag_mort_30_ami,comp_flag_mort_30_cabg,comp_flag_mort_30_copd,comp_flag_mort_30_hf,comp_flag_mort_30_pn,comp_flag_mort_30_stk,comp_flag_psi_03,comp_flag_psi_04,comp_flag_psi_06,comp_flag_psi_08,comp_flag_psi_09,comp_flag_psi_10,comp_flag_psi_11,comp_flag_psi_12,comp_flag_psi_13,comp_flag_psi_14,comp_flag_psi_15,comp_flag_psi_90
050782,3.2,4.1,,,,,14.5,,0.47,,0.21,0.27,2.52,1.58,6.92,3.22,5.74,1.76,1.01,0.89,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
050783,,3.7,,,8.0,11.6,18.3,,0.56,,0.21,0.31,,,,,,,,,,No Different Than the National Rate,Number of Cases Too Small,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,,,,,,,Number of Cases Too Small,
050784,,3.9,,,,13.4,17.0,,0.44,,0.2,0.26,2.25,,,3.83,,,1.05,0.95,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Value
050785,2.3,4.1,,,,,,,0.62,,0.21,0.27,2.18,1.65,7.69,3.11,4.81,1.76,1.05,0.91,No Different Than the National Rate,No Different Than the National Rate,,,,,,,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
050854,,,,,,,,,0.61,,0.21,0.27,,,,,,,,,,,,,,,,,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,,,,,,,,
050855,,4.3,,,,,,,0.6,,0.21,0.27,,,,,,,1.05,0.99,,No Different Than the National Rate,Number of Cases Too Small,,,Number of Cases Too Small,Number of Cases Too Small,,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Value
05114F,2.7,,9.5,,6.3,5.0,9.4,,0.59,186.43,0.41,0.24,3.05,1.58,10.31,2.74,4.94,2.21,1.03,1.0,No Different Than the National Rate,,No Different Than the National Rate,,No Different Than the National Rate,Better Than the National Rate,Better Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
05127F,4.6,,11.0,,9.3,8.5,14.1,,0.79,187.12,0.21,0.21,2.21,1.35,10.38,3.07,3.99,1.52,0.76,0.97,No Different Than the National Rate,,No Different Than the National Rate,,No Different Than the National Rate,Better Than the National Rate,No Different Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
05128F,3.9,,10.7,,6.0,5.9,11.3,,1.06,162.23,0.21,0.3,1.63,1.83,6.11,3.27,3.74,1.68,0.89,0.97,No Different Than the National Rate,,No Different Than the National Rate,,No Different Than the National Rate,Better Than the National Rate,Better Than the National Rate,,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Rate,No Different Than the National Value
051301,,4.1,,,,12.6,19.6,,,,,,,,,,,,,,Number of Cases Too Small,No Different Than the National Rate,Number of Cases Too Small,,Number of Cases Too Small,No Different Than the National Rate,No Different Than the National Rate,Number of Cases Too Small,,,,,,,,,,,,
