facility_id,hcahps_pct_h_clean_hsp_a_p,hcahps_pct_h_clean_hsp_sn_p,hcahps_pct_h_clean_hsp_u_p,hcahps_pct_h_comp_1_a_p,hcahps_pct_h_comp_1_sn_p,hcahps_pct_h_comp_1_u_p,hcahps_pct_h_comp_2_a_p,hcahps_pct_h_comp_2_sn_p,hcahps_pct_h_comp_2_u_p,hcahps_pct_h_comp_5_a_p,hcahps_pct_h_comp_5_sn_p,hcahps_pct_h_comp_5_u_p,hcahps_pct_h_comp_6_n_p,hcahps_pct_h_comp_6_y_p,hcahps_pct_h_disch_help_n_p,hcahps_pct_h_disch_help_y_p,hcahps_pct_h_doctor_explain_a_p,hcahps_pct_h_doctor_explain_sn_p,hcahps_pct_h_doctor_explain_u_p,hcahps_pct_h_doctor_listen_a_p,hcahps_pct_h_doctor_listen_sn_p,hcahps_pct_h_doctor_listen_u_p,hcahps_pct_h_doctor_respect_a_p,hcahps_pct_h_doctor_respect_sn_p,hcahps_pct_h_doctor_respect_u_p,hcahps_pct_h_hsp_rating_0_6,hcahps_pct_h_hsp_rating_7_8,hcahps_pct_h_hsp_rating_9_10,hcahps_pct_h_med_for_a_p,hcahps_pct_h_med_for_sn_p,hcahps_pct_h_med_for_u_p,hcahps_pct_h_nurse_explain_a_p,hcahps_pct_h_nurse_explain_sn_p,hcahps_pct_h_nurse_explain_u_p,hcahps_pct_h_nurse_listen_a_p,hcahps_pct_h_nurse_listen_sn_p,hcahps_pct_h_nurse_listen_u_p,hcahps_pct_h_nurse_respect_a_p,hcahps_pct_h_nurse_respect_sn_p,hcahps_pct_h_nurse_respect_u_p,hcahps_pct_h_quiet_hsp_a_p,hcahps_pct_h_quiet_hsp_sn_p,hcahps_pct_h_quiet_hsp_u_p,hcahps_pct_h_recmnd_dn,hcahps_pct_h_recmnd_dy,hcahps_pct_h_recmnd_py,hcahps_pct_h_side_effects_a_p,hcahps_pct_h_side_effects_sn_p,hcahps_pct_h_side_effects_u_p,hcahps_pct_h_symptoms_n_p,hcahps_pct_h_symptoms_y_p,hcahps_linear_h_clean_linear_score,hcahps_linear_h_comp_1_linear_score,hcahps_linear_h_comp_2_linear_score,hcahps_linear_h_comp_5_linear_score,hcahps_linear_h_comp_6_linear_score,hcahps_linear_h_hsp_rating_linear_score,hcahps_linear_h_quiet_linear_score,hcahps_linear_h_recmnd_linear_score,hcahps_stars_h_clean_star_rating,hcahps_stars_h_comp_1_star_rating,hcahps_stars_h_comp_2_star_rating,hcahps_stars_h_comp_5_star_rating,hcahps_stars_h_comp_6_star_rating,hcahps_stars_h_hsp_rating_star_rating,hcahps_stars_h_quiet_star_rating,hcahps_stars_h_recmnd_star_rating,hcahps_stars_h_star_rating
100128,60.0,15.0,25.0,79.0,6.0,15.0,76.0,8.0,16.0,58.0,23.0,19.0,15.0,85.0,15.0,85.0,70.0,10.0,20.0,73.0,9.0,18.0,84.0,5.0,11.0,11.0,20.0,69.0,72.0,11.0,17.0,75.0,7.0,18.0,76.0,7.0,17.0,87.0,4.0,9.0,53.0,17.0,30.0,8.0,72.0,20.0,44.0,36.0,20.0,15.0,85.0,80.0,91.0,89.0,74.0,84.0,87.0,77.0,87.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0
100130,94.0,3.0,3.0,79.0,8.0,13.0,87.0,4.0,9.0,72.0,10.0,18.0,20.0,80.0,16.0,84.0,84.0,5.0,11.0,86.0,5.0,9.0,90.0,2.0,8.0,11.0,27.0,62.0,77.0,7.0,16.0,73.0,9.0,18.0,78.0,9.0,13.0,86.0,5.0,9.0,81.0,5.0,14.0,14.0,59.0,27.0,67.0,13.0,20.0,23.0,77.0,,,,,,,,,,,,,,,,,
100131,71.0,13.0,16.0,71.0,10.0,19.0,75.0,9.0,16.0,54.0,29.0,17.0,23.0,77.0,25.0,75.0,71.0,11.0,18.0,74.0,11.0,15.0,81.0,6.0,13.0,14.0,23.0,63.0,69.0,13.0,18.0,69.0,12.0,19.0,68.0,11.0,21.0,77.0,7.0,16.0,66.0,9.0,25.0,12.0,63.0,25.0,39.0,45.0,16.0,21.0,79.0,85.0,87.0,88.0,69.0,77.0,84.0,85.0,82.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0
100132,80.0,5.0,15.0,80.0,3.0,17.0,74.0,7.0,19.0,61.0,21.0,18.0,14.0,86.0,15.0,85.0,68.0,10.0,22.0,72.0,8.0,20.0,82.0,4.0,14.0,8.0,17.0,75.0,72.0,11.0,17.0,77.0,5.0,18.0,76.0,4.0,20.0,88.0,1.0,11.0,64.0,6.0,30.0,6.0,73.0,21.0,50.0,31.0,19.0,13.0,87.0,91.0,92.0,89.0,77.0,86.0,90.0,86.0,89.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0
100134,87.0,0.0,13.0,82.0,1.0,17.0,79.0,3.0,18.0,72.0,7.0,21.0,8.0,92.0,9.0,91.0,76.0,5.0,19.0,78.0,2.0,20.0,84.0,3.0,13.0,6.0,16.0,78.0,93.0,0.0,7.0,80.0,2.0,18.0,79.0,2.0,19.0,87.0,0.0,13.0,76.0,1.0,23.0,5.0,74.0,21.0,50.0,14.0,36.0,8.0,92.0,,,,,,,,,,,,,,,,,
100135,67.0,11.0,22.0,73.0,6.0,21.0,76.0,5.0,19.0,52.0,27.0,21.0,19.0,81.0,24.0,76.0,71.0,7.0,22.0,74.0,7.0,19.0,83.0,3.0,14.0,12.0,25.0,63.0,67.0,13.0,20.0,68.0,9.0,23.0,69.0,7.0,24.0,83.0,4.0,13.0,52.0,12.0,36.0,7.0,66.0,27.0,38.0,42.0,20.0,13.0,87.0,84.0,89.0,90.0,70.0,81.0,85.0,79.0,85.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0
100137,74.0,8.0,18.0,76.0,6.0,18.0,73.0,8.0,19.0,56.0,24.0,20.0,14.0,86.0,14.0,86.0,67.0,9.0,24.0,70.0,8.0,22.0,81.0,5.0,14.0,12.0,23.0,65.0,70.0,12.0,18.0,69.0,7.0,24.0,72.0,7.0,21.0,85.0,4.0,11.0,53.0,15.0,32.0,9.0,64.0,27.0,42.0,36.0,22.0,14.0,86.0,88.0,90.0,88.0,73.0,86.0,85.0,78.0,84.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0
10013F,77.0,6.0,17.0,82.0,3.0,15.0,79.0,5.0,16.0,68.0,16.0,16.0,11.0,89.0,15.0,85.0,74.0,4.0,22.0,78.0,7.0,15.0,86.0,4.0,10.0,7.0,27.0,66.0,79.0,8.0,13.0,77.0,5.0,18.0,77.0,3.0,20.0,90.0,2.0,8.0,77.0,4.0,19.0,9.0,63.0,28.0,55.0,26.0,19.0,8.0,92.0,90.0,93.0,91.0,82.0,89.0,88.0,91.0,83.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,2.0,4.0
100140,75.0,8.0,17.0,79.0,6.0,15.0,79.0,6.0,15.0,58.0,23.0,19.0,19.0,81.0,21.0,79.0,75.0,7.0,18.0,77.0,6.0,17.0,85.0,4.0,11.0,9.0,12.0,79.0,72.0,11.0,17.0,75.0,8.0,17.0,76.0,7.0,17.0,85.0,4.0,11.0,64.0,8.0,28.0,5.0,78.0,17.0,44.0,34.0,22.0,17.0,83.0,88.0,90.0,91.0,74.0,81.0,90.0,85.0,90.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0
100142,83.0,2.0,15.0,83.0,3.0,14.0,85.0,4.0,11.0,71.0,13.0,16.0,7.0,93.0,10.0,90.0,82.0,4.0,14.0,84.0,5.0,11.0,89.0,3.0,8.0,7.0,18.0,75.0,84.0,2.0,14.0,79.0,3.0,18.0,81.0,3.0,16.0,88.0,3.0,9.0,71.0,3.0,26.0,7.0,72.0,21.0,58.0,23.0,19.0,4.0,96.0,94.0,93.0,93.0,84.0,93.0,89.0,89.0,88.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0
